player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
Kentavious Caldwell-Pope;29;77;30.2;204;6,5;13.2;10.8;0.435;0.531;0.397;5.3;0.39;0.508;0.492;2;0.89;0.568;0.5;2.9;3.4;0.018;0.093;0.056;1.9;1.3;1.1;0.3;1.8;109.1;113.8;-4.7;-3;0.185
Kenyon Martin Jr.;21;79;21;215;6,5;8.8;6.6;0.533;0.591;0.629;2.1;0.357;0.679;0.321;1.6;0.634;0.603;1;2.7;3.8;0.047;0.131;0.088;1.3;0.8;0.4;0.5;1.4;108.5;115.4;-6.9;-3;0.158
Keon Johnson;20;37;18.8;185;6,4;7.2;7.4;0.353;0.415;0.464;2.7;0.34;0.632;0.368;1.4;0.804;0.453;0.6;1.5;2.2;0.031;0.083;0.056;2.1;1.2;0.8;0.3;1.9;100.8;119.8;-19;-7.8;0.207
Kessler Edwards;21;48;20.6;203;6,7;5.9;5.6;0.412;0.502;0.437;2.8;0.353;0.491;0.509;0.4;0.842;0.516;0.9;2.7;3.6;0.043;0.124;0.084;0.6;0.9;0.6;0.5;1.8;112.2;115.5;-3.3;-1.3;0.132
Kevin Durant;33;55;37.2;240;6,10;29.9;20.3;0.518;0.57;0.564;5.5;0.383;0.731;0.269;7.4;0.91;0.634;0.5;6.9;7.4;0.015;0.166;0.097;6.4;3.5;0.9;0.9;2.1;116.2;109.7;6.5;4.9;0.31
Kevin Huerter;23;74;29.6;198;6,7;12.1;10.3;0.454;0.559;0.415;5.6;0.389;0.459;0.541;0.7;0.808;0.57;0.4;3;3.4;0.014;0.098;0.056;2.7;1.2;0.7;0.4;2.5;116.4;112.5;3.8;2.3;0.169
Kevin Knox II;22;30;7.4;215;6,7;3.1;2.8;0.365;0.453;0.344;1.8;0.278;0.365;0.635;0.7;0.727;0.491;0.5;1;1.5;0.055;0.127;0.09;0.3;0.2;0.1;0.1;0.6;98.5;113.7;-15.1;-2.3;0.187
Kevin Love;33;74;22.5;251;6,8;13.6;10.3;0.43;0.553;0.278;6.4;0.392;0.373;0.627;2.7;0.838;0.594;1.2;6.1;7.2;0.051;0.258;0.155;2.2;1.3;0.4;0.2;1.4;108.9;107.4;1.5;1.3;0.239
Kevin Pangos;29;24;6.9;179;6,1;1.6;1.9;0.326;0.391;0.462;1.1;0.231;0.435;0.565;0.2;0.75;0.408;0.1;0.4;0.5;0.012;0.057;0.035;1.3;0.3;0.1;0;0.5;104.9;117.1;-12.1;-1.5;0.143
Kevin Porter Jr.;22;61;31.3;203;6,4;15.6;13.2;0.415;0.511;0.379;6.8;0.375;0.489;0.511;3.2;0.642;0.531;0.7;3.7;4.4;0.022;0.111;0.067;6.2;3.1;1.1;0.4;2.6;108.3;114.9;-6.7;-4.6;0.239
Kevon Looney;26;82;21.1;222;6,9;6;4.4;0.571;0.571;0.847;0;0;0.997;0.003;1.5;0.6;0.586;2.5;4.7;7.3;0.12;0.21;0.166;2;0.8;0.6;0.6;2.6;113.2;107.2;6;2;0.12
